date,Approve,Disapprove
2014-11-23,42.7,53.0
2014-11-24,42.5,53.0
2014-11-25,42.0,53.0
2014-11-26,42.1,53.5
2014-11-27,42.1,53.5
2014-11-28,41.8,53.5
2014-11-29,41.9,53.5
2014-11-30,42.0,53.3
2014-12-01,42.3,53.0
2014-12-02,42.3,53.1
2014-12-03,42.3,53.0
2014-12-04,42.3,53.0
2014-12-05,42.3,53.2
2014-12-06,42.2,53.2
2014-12-07,42.7,53.0
2014-12-08,43.3,52.5
2014-12-09,42.6,52.7
2014-12-10,42.4,52.6
2014-12-11,42.0,53.4
2014-12-12,42.0,53.3
2014-12-13,41.9,53.1
2014-12-14,41.8,53.3
2014-12-15,41.9,53.3
2014-12-16,41.8,53.2
2014-12-17,41.8,53.3
2014-12-18,42.0,52.8
2014-12-19,42.1,52.8
2014-12-20,42.3,52.8
2014-12-21,42.5,52.6
2014-12-22,42.4,52.7
2014-12-23,42.7,52.5
2014-12-24,42.7,52.5
2014-12-25,42.7,52.5
2014-12-26,42.6,52.5
2014-12-27,42.6,52.5
2014-12-28,42.8,52.4
2014-12-29,42.8,52.5
2014-12-30,43.1,52.4
2014-12-31,43.2,52.3
2015-01-01,43.2,52.3
2015-01-02,43.4,52.1
2015-01-03,43.6,51.9
2015-01-04,43.8,51.9
2015-01-05,44.1,51.5
2015-01-06,44.3,51.4
2015-01-07,44.4,51.6
2015-01-08,44.1,51.9
2015-01-09,43.9,52.1
2015-01-10,43.7,52.6
2015-01-11,43.9,52.4
2015-01-12,44.3,52.0
2015-01-13,44.5,51.3
2015-01-14,44.7,50.1
2015-01-15,44.4,50.3
2015-01-16,44.7,50.1
2015-01-17,44.7,50.3
2015-01-18,44.6,50.6
2015-01-19,44.5,50.5
2015-01-20,44.7,50.1
2015-01-21,45.0,49.9
2015-01-22,45.6,49.3
2015-01-23,45.8,49.2
2015-01-24,46.0,49.2
2015-01-25,45.8,49.2
2015-01-26,45.8,49.2
2015-01-27,45.4,49.3
2015-01-28,45.7,49.6
2015-01-29,45.7,49.7
2015-01-30,45.9,49.3
2015-01-31,46.0,49.1
2015-02-01,46.2,49.1
2015-02-02,46.2,49.2
2015-02-03,46.0,49.6
2015-02-04,45.9,50.0
2015-02-05,45.4,50.1
2015-02-06,45.4,49.5
2015-02-07,45.5,49.4
2015-02-08,45.6,49.4
2015-02-09,45.8,49.7
2015-02-10,45.8,49.7
2015-02-11,45.6,50.0
2015-02-12,45.6,50.0
2015-02-13,45.6,50.3
2015-02-14,45.7,50.0
2015-02-15,45.2,50.2
2015-02-16,45.6,50.0
2015-02-17,45.6,50.0
2015-02-18,45.2,50.4
2015-02-19,45.4,50.0
2015-02-20,45.3,50.0
2015-02-21,45.7,49.6
2015-02-22,45.6,49.7
2015-02-23,45.3,50.0
2015-02-24,45.0,50.4
2015-02-25,45.1,50.3
2015-02-26,44.6,51.0
2015-02-27,44.6,51.0
2015-02-28,44.1,51.6
2015-03-01,44.6,51.1
2015-03-02,45.0,50.4
2015-03-03,44.6,51.1
