Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,90,13,-0.01803,0.01840,49E3,-0.98,0.3272
Intercept,126,13,0.001884,0.01836,49E3,0.10,0.9183
Intercept,145,13,0.001786,0.01822,49E3,0.10,0.9219
Intercept,147,13,0.005154,0.01676,49E3,0.31,0.7584
Intercept,150,13,-0.02957,0.01442,49E3,-2.05,0.0403
Intercept,154,13,0.004039,0.01488,49E3,0.27,0.7860
Intercept,275,13,-0.00904,0.01822,49E3,-0.50,0.6199
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,14,0.01048,0.005796,49E3,1.81,0.0707
Intercept,7,14,-0.00419,0.01262,49E3,-0.33,0.7398
Intercept,13,14,-0.00856,0.01288,49E3,-0.66,0.5065
Intercept,20,14,-0.00683,0.01441,49E3,-0.47,0.6354
Intercept,35,14,-0.01205,0.01329,49E3,-0.91,0.3647
Intercept,40,14,0.01064,0.01293,49E3,0.82,0.4104
Intercept,71,14,-0.00766,0.01114,49E3,-0.69,0.4915
Intercept,119,14,0.01848,0.01368,49E3,1.35,0.1767
Intercept,202,14,0.005078,0.01297,49E3,0.39,0.6954
Intercept,236,14,-0.01491,0.01288,49E3,-1.16,0.2472
Intercept,238,14,0.001007,0.01284,49E3,0.08,0.9375
Intercept,248,14,0.02326,0.01398,49E3,1.66,0.0962
Intercept,250,14,0.03102,0.01606,49E3,1.93,0.0535
Intercept,278,14,0.008826,0.01473,49E3,0.60,0.5489
Intercept,284,14,-0.00194,0.01843,49E3,-0.11,0.9160
Intercept,295,14,0.007269,0.01146,49E3,0.63,0.5258
